TIMESTAMP,WLEV
0,1431.0743404432835
1,1431.3836498510009
2,1431.6918741004308
3,1431.9991300499978
4,1432.3057550999165
5,1432.6121368544016
6,1432.9185227438336
7,1433.2250282210919
8,1433.5316471127576
9,1433.8380411145192
10,1434.1434360797016
11,1434.4466414593328
12,1434.7449253819264
13,1435.0307508722183
14,1435.277297682119
15,1435.5065631872155
16,1435.7251416121335
17,1435.940516150857
18,1436.1569154057452
19,1436.3739186317391
20,1436.5898348667627
21,1436.8031850290806
22,1437.0136213663975
23,1437.222582674291
24,1437.4300573689268
25,1437.635188172385
26,1437.8392744668
27,1438.0399722024067
28,1438.23607109702
29,1438.4277492678252
30,1438.6149952268777
31,1438.7961807678132
32,1438.9701829781857
33,1439.136516577028
34,1439.2917208902702
35,1439.431575781692
36,1439.5537948649392
37,1439.6564226404953
38,1439.739731935544
39,1439.8061866168284
40,1439.8584977830303
41,1439.8984021726963
42,1439.9269430544389
43,1439.9472874747514
44,1439.9650399071909
45,1439.9834456766687
46,1440.0024157600217
47,1440.0207242387175
48,1440.0368398406001
49,1440.0497956675242
50,1440.061426468894
51,1440.0722024032164
52,1440.0840679880018
53,1440.0996511480237
54,1440.1177643977414
55,1440.1366316933286
56,1440.1565469085738
57,1440.1773985091345
58,1440.1988790006194
59,1440.2208725990097
60,1440.2438156063195
61,1440.271631289206
62,1440.3213129721598
63,1440.4181016009472
64,1440.588648058939
65,1440.8432063522012
66,1441.1662014989085
67,1441.5308909815014
68,1441.914157503261
69,1442.3015817795913
70,1442.6872524524335
71,1443.071858814331
72,1443.461461776764
73,1443.8655012953227
74,1444.292226325622
75,1444.7432241747363
76,1445.2132773713226
77,1445.6883760085427
78,1446.141290711157
79,1446.5477937238602
80,1446.9152869864515
81,1447.3033067041122
82,1447.783184382521
83,1448.3875667101315
84,1449.095207294676
85,1449.8547191802163
86,1450.6169401047066
87,1451.366517623087
88,1452.102094343338
89,1452.8357125248258
90,1453.577837558116
91,1454.3372510002491
92,1455.1170244641935
93,1455.9203721439028
94,1456.738405404996
